state,place_name,fips_place,total_units,sf_1unit_units,duplex_units,mf_3plus_units
MA,Braintree Town,07740,65,7,2,56
MA,Brewster town,07980,13,13,0,0
MA,Bridgewater Town,08130,38,38,0,0
MA,Brimfield town,08470,5,5,0,0
MA,Brockton,09000,45,29,6,10
MA,Brookfield town,09105,8,8,0,0
MA,Brookline town,09175,37,21,0,16
MA,Buckland town,09595,3,3,0,0
MA,Burlington town,09840,33,33,0,0
MA,Cambridge,11000,489,23,8,458
MA,Canton town,11315,87,0,0,87
MA,Carlisle town,11525,8,8,0,0
MA,Carver town,11665,31,22,0,9
MA,Charlemont town,12505,1,1,0,0
MA,Charlton town,12715,36,36,0,0
MA,Chatham town,12995,36,36,0,0
MA,Chelmsford town,13135,353,6,0,347
MA,Chelsea,13205,70,0,0,70
MA,Cheshire town,13345,2,2,0,0
MA,Chester town,13485,1,1,0,0
MA,Chesterfield town,13590,0,0,0,0
MA,Chicopee,13660,11,11,0,0
MA,Chilmark town,13800,12,12,0,0
MA,Clarksburg town,14010,3,3,0,0
MA,Clinton town,14395,3,3,0,0
MA,Cohasset town,14640,2,2,0,0
MA,Colrain town,14885,12,12,0,0
MA,Concord town,15060,27,27,0,0
MA,Conway town,15200,2,2,0,0
MA,Cummington town,16040,0,0,0,0
MA,Dalton town,16180,2,2,0,0
MA,Danvers town,16250,2,2,0,0
MA,Dartmouth town,16425,32,32,0,0
MA,Dedham town,16495,33,33,0,0
MA,Deerfield town,16670,3,3,0,0
MA,Dennis town,16775,66,58,8,0
MA,Dighton town,16950,12,12,0,0
MA,Douglas town,17300,40,40,0,0
MA,Dover town,17405,7,7,0,0
MA,Dracut town,17475,71,71,0,0
MA,Dudley town,17685,0,0,0,0
MA,Dunstable town,17825,8,8,0,0
MA,Duxbury town,17895,26,26,0,0
MA,East Bridgewater town,18455,15,15,0,0
MA,East Brookfield town,18560,6,6,0,0
MA,East Longmeadow town,19645,23,23,0,0
MA,Eastham town,19295,25,25,0,0
MA,Easthampton,19365,49,0,4,45
MA,Easton town,20100,31,31,0,0
MA,Edgartown town,21150,13,13,0,0
MA,Egremont town,21360,6,6,0,0
MA,Erving town,21780,0,0,0,0
MA,Essex town,21850,3,1,2,0
MA,Everett,21990,206,0,0,206
MA,Fairhaven town,22130,22,22,0,0
MA,Fall River,23000,63,63,0,0
MA,Falmouth town,23105,90,72,2,16
MA,Fitchburg,23875,22,19,0,3
MA,Florida town,24120,0,0,0,0
MA,Foxborough town,24820,11,11,0,0
MA,Framingham,24960,31,15,10,6
MA,Franklin Town,25100,79,51,0,28
MA,Freetown town,25240,5,5,0,0
MA,Gardner,25485,7,7,0,0
MA,Aquinnah town,01585,2,2,0,0
MA,Georgetown town,25625,8,6,2,0
MA,Gill town,25730,3,3,0,0
MA,Gloucester,26150,79,19,20,40
MA,Goshen town,26290,0,0,0,0
MA,Gosnold town,26325,0,0,0,0
MA,Grafton town,26430,282,110,2,170
MA,Granby town,26535,12,12,0,0
MA,Granville town,26675,3,3,0,0
MA,Great Barrington town,26815,18,8,0,10
MA,Greenfield,27060,17,4,2,11
MA,Groton town,27480,33,21,12,0
MA,Groveland town,27620,98,2,0,96
MA,Hadley town,27690,4,4,0,0
MA,Halifax town,27795,7,7,0,0
MA,Hamilton town,27900,3,3,0,0
MA,Hampden town,28075,4,4,0,0
MA,Hancock town,28180,4,4,0,0
MA,Hanover town,28285,15,15,0,0
MA,Hanson town,28495,69,13,24,32
MA,Hardwick town,28740,9,9,0,0
MA,Harvard town,28950,2,2,0,0
